CASE_NUMBER,Date Rptd,DATE OCC,TIME OCC,COD_AREA,Rpt Dist No,Part 1-2,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used Cd,Status,Status Desc,LOCATION,Cross Street,LAT,LON,Custom
211507896,4/11/2021,11/7/2020,845,15,1502,2,354,31,M,H,501,-9,IC,Invest Cont,7800 BEEMAN AV,,34.2124,-118.4092,7800 BEEMAN AV
201516622,10/21/2020,10/18/2020,1845,15,1521,1,230,32,M,H,102,200,IC,Invest Cont,ATOLL AV,N GAULT,34.1993,-118.4203,ATOLAV AV
240913563,12/10/2024,10/30/2020,1240,9,933,2,354,30,M,W,501,-9,IC,Invest Cont,14600 SYLVAN ST,,34.1847,-118.4509,1460 SYLVA ST
210704711,12/24/2020,12/24/2020,1310,7,782,1,331,47,F,A,101,-9,IC,Invest Cont,6000 COMEY AV,,34.0339,-118.3747,6000 COMEY AV
201418201,10/3/2020,9/29/2020,1830,14,1454,1,420,63,M,H,103,-9,IC,Invest Cont,4700 LA VILLA MARINA,,33.9813,-118.435,4700 LA VILINA
240412063,12/11/2024,11/11/2020,1210,4,429,2,354,35,M,B,502,-9,IC,Invest Cont,5300 CRONUS ST,,34.083,-118.1678,5300 CRONUS ST
240317069,12/16/2024,4/16/2020,1350,3,396,2,354,21,F,B,501,-9,IC,Invest Cont,900 W 40TH PL,,34.01,-118.29,900 PL40TH PL
201115217,10/29/2020,7/7/2020,1400,11,1133,2,812,14,F,H,121,500,AO,Adult Other,3000 ACRESITE ST,,34.1107,-118.2589,3000 ST ACRESI ST
241708596,4/20/2024,3/2/2020,1200,17,1729,2,354,43,M,W,501,-9,IC,Invest Cont,17700 SIMONDS ST,,34.2763,-118.521,1770 S SIMON ST
242113813,12/18/2024,9/1/2020,900,21,2196,2,354,57,M,W,501,-9,IC,Invest Cont,20900 MARMORA ST,,34.1493,-118.5886,2090 S MARMO ST
240605846,2/6/2024,6/20/2020,1,6,657,2,812,13,M,H,501,400,AA,Adult Arrest,1000 N RIDGEWOOD PL,,34.0878,-118.3146,1000 RIDGEWPL
242014110,12/18/2024,11/17/2020,1320,20,2023,2,354,34,F,A,502,-9,IC,Invest Cont,400 S ARDMORE AV,,34.0672,-118.3016,400 ARDMORE AV
202113531,9/6/2020,9/5/2020,1500,21,2149,1,510,0,,,108,-9,AA,Adult Arrest,19700 VANOWEN ST,,34.1938,-118.5631,1970 S VANOW ST
201710725,7/3/2020,7/2/2020,500,17,1762,1,310,0,X,X,203,-9,IC,Invest Cont,9500 COZYCROFT AV,,34.2427,-118.582,9500AV COZYCRAV
201406733,2/16/2020,2/13/2020,2300,14,1406,1,330,32,M,W,707,-9,IC,Invest Cont,3300 MOTOR AV,,34.024,-118.409,3300 MOTOR AV
201405970,2/1/2020,2/1/2020,1658,14,1494,1,440,39,M,O,212,-9,AO,Adult Other,300 WORLD WY,,33.944,-118.4073,300 WORLD WY
201820230,11/8/2020,11/8/2020,730,18,1844,2,626,26,F,B,101,400,IC,Invest Cont,108TH ST,AVALON AV,33.9383,-118.2652,108TST ST
201707577,3/20/2020,3/20/2020,1320,17,1752,2,624,21,F,W,210,500,IC,Invest Cont,20900 DEVONSHIRE ST,,34.2572,-118.5885,2090 DEVON ST
201514848,9/4/2020,8/17/2020,400,15,1549,1,310,0,M,W,502,-9,AA,Adult Arrest,11100 CUMPSTON ST,,34.17,-118.3722,1110 ST CUMPS ST
201405023,1/19/2020,1/19/2020,1850,14,1435,1,310,37,M,A,501,500,IC,Invest Cont,3500 PURDUE AV,,34.0158,-118.4258,3500 PURDUE AV
211306997,3/9/2021,11/1/2020,1800,13,1313,1,440,37,F,H,501,-9,IC,Invest Cont,700 E 18TH ST,,34.0283,-118.2562,700 ST18TH ST
201405778,1/27/2020,1/20/2020,1540,14,1494,1,440,34,M,W,212,-9,IC,Invest Cont,600 WORLD WY,,33.943,-118.4035,600 WORLD WY
202005291,1/29/2020,1/29/2020,545,20,2038,1,440,0,X,X,203,-9,IC,Invest Cont,3100 WILSHIRE BL,,34.0618,-118.2891,3100 BL WILSHI BL
201715737,11/25/2020,11/25/2020,1200,17,1777,1,310,69,F,W,501,-9,IC,Invest Cont,9700 VALJEAN AV,,34.2467,-118.4872,9700 A VALJEA AV
201608553,4/28/2020,4/28/2020,1730,16,1622,1,230,14,M,H,109,114,AA,Adult Arrest,10900 HADDON AV,,34.2685,-118.4364,1090 HADDO AV
202006163,2/14/2020,2/11/2020,1600,20,2033,2,745,24,M,H,122,-9,IC,Invest Cont,3700 WILSHIRE BL,,34.0617,-118.3066,3700 BL WILSHI BL
202009677,5/13/2020,5/13/2020,900,20,2042,1,520,36,M,H,101,-9,IC,Invest Cont,900 S WILTON PL,,34.0559,-118.3142,900 WILTON PL
201915689,10/15/2020,10/15/2020,305,19,1918,2,740,35,F,H,108,-9,IC,Invest Cont,13600 FOOTHILL BL,,34.3069,-118.4297,1360 BL FOOTH BL
201918078,12/15/2020,12/15/2020,1111,19,1983,1,210,19,M,H,108,114,IC,Invest Cont,8300 N SEPULVEDA BL,,34.2214,-118.4677,8300 SEPULVBL
202013248,8/9/2020,8/9/2020,2250,20,2069,2,626,43,M,H,502,400,AA,Adult Arrest,1200 S WESTMORELAND AV,,34.0495,-118.2891,1200 WESTMO AV
202011749,7/4/2020,6/26/2020,700,20,2021,2,740,48,M,O,122,-9,IC,Invest Cont,4100 W 6TH ST,,34.0633,-118.3141,4100 S 6TH ST
201811813,5/28/2020,5/25/2020,200,18,1851,1,510,0,,,101,-9,IC,Invest Cont,MENLO AV,130TH ST,33.9144,-118.2894,MENLAV AV
201809657,4/15/2020,4/15/2020,1550,18,1871,2,626,49,F,B,501,400,IC,Invest Cont,800 W ROSECRANS AV,,33.9019,-118.2893,800 ROSECRAAV
201409975,4/22/2020,4/21/2020,1930,14,1446,1,330,43,M,H,101,-9,IC,Invest Cont,VENICE BL,INGLEWOOD BL,34.0056,-118.4301,VENI BL
201819653,10/28/2020,10/28/2020,1000,18,1831,2,740,22,F,B,122,-9,IC,Invest Cont,600 W ATHENS BL,,33.9213,-118.2847,600 ATHENS BL
